"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","0","0","3","3","30","0","14","false","0","End Period"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","2","15","0","3","3","30","3","14","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","14","2","14","4","3","3","23","4","7","true","40","Field Goal Good"
"Louisiana Tech","Florida International","Louisiana Tech","3","14","2","14","4","3","3","65","0","0","false","0","Kickoff"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","75","1","10","false","18","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","57","1","10","false","4","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","53","2","6","false","6","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","47","1","10","false","16","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","31","1","10","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","31","2","10","false","4","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","14","3","2","14","4","3","3","27","3","6","false","1","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","10","6","3","3","26","4","5","true","45","Field Goal Good"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","10","6","3","3","65","0","0","false","0","Kickoff"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","75","1","10","false","12","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","63","1","10","false","-2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","65","2","12","false","11","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","54","3","1","false","5","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","49","1","10","false","0","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","49","2","10","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","47","3","8","false","15","Penalty"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","24","1","10","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","22","2","8","false","2","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","10","6","3","3","20","3","6","false","0","Pass Incompletion"
"Louisiana Tech","Florida International","Louisiana Tech","3","17","2","4","21","3","3","20","4","6","false","37","Field Goal Missed"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","4","21","3","3","80","1","10","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","4","16","3","3","80","2","10","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","4","11","3","3","80","3","10","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","17","3","2","4","6","3","3","80","4","10","false","0","Punt"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","3","48","3","3","64","1","10","true","64","Passing Touchdown"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","3","48","3","3","65","0","0","false","0","Kickoff"
"Florida International","Louisiana Tech","Louisiana Tech","17","10","2","3","35","3","3","75","1","10","false","9","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","17","10","2","3","35","3","3","66","2","1","false","-3","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","17","10","2","2","59","3","3","69","3","4","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","17","10","2","2","22","3","3","69","4","4","false","0","Punt"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","2","22","3","3","89","1","10","false","7","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","2","22","3","3","82","2","3","false","1","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","2","22","3","3","81","3","2","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","1","0","3","3","79","1","10","false","5","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","49","2","3","74","2","5","false","0","Timeout"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","49","2","3","74","2","5","false","14","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","39","2","3","60","1","10","false","13","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","17","2","2","19","1","10","false","0","Timeout"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","17","2","2","47","1","10","false","28","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","17","2","2","19","1","10","false","-3","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","10","1","2","22","2","13","false","0","Timeout"
"Louisiana Tech","Florida International","Louisiana Tech","10","17","2","0","10","1","2","22","2","13","false","7","Pass Reception"
